789073018671988768,800740277500379171,2
687970813168976124,800740277500379171,3
274616772965957652,800740277500379171,2
701727481723486228,800740277500379171,2
789073018671988768,788063937056210946,2
687970813168976124,788063937056210946,3
687970813168976124,100000000000000000,3
274616772965957652,788063937056210946,2
701727481723486228,788063937056210946,2
771371041314308117,788063937056210946,2
771371041314308117,100000000000000000,2
604056828393029638,788063937056210946,2
604056828393029638,100000000000000000,2
436235997223845888,788063937056210946,2
436235997223845888,100000000000000000,2
332427211954978816,788063937056210946,2
332427211954978816,100000000000000000,2
788321396399931392,788063937056210946,2
788321396399931392,100000000000000000,2
542682587588460544,788063937056210946,2
542682587588460544,100000000000000000,2
142340608697040896,788063937056210946,2
142340608697040896,100000000000000000,2
230286717934895104,788063937056210946,2
230286717934895104,100000000000000000,2
757567232090964038,788063937056210946,2
757567232090964038,100000000000000000,2
707354323230654566,788063937056210946,2
707354323230654566,100000000000000000,2
164636597382283264,788063937056210946,3
164636597382283264,100000000000000000,3
522149616922263592,788063937056210946,2
522149616922263592,100000000000000000,2
788059967575294002,788063937056210946,2
788059967575294002,100000000000000000,2
788090198776610838,788063937056210946,2
788090198776610838,100000000000000000,2
788083958477881354,788063937056210946,2
788083958477881354,100000000000000000,2
761220703042666569,788063937056210946,3
761220703042666569,100000000000000000,3
194849764452335625,788063937056210946,2
194849764452335625,100000000000000000,2
695207995101020180,788063937056210946,0
695207995101020180,100000000000000000,0
705366422511026206,788063937056210946,0
705366422511026206,100000000000000000,0
623874731287904267,788063937056210946,2
623874731287904267,100000000000000000,2
755469857926938653,788063937056210946,2
755469857926938653,100000000000000000,2
788096513171521536,788063937056210946,2
788096513171521536,100000000000000000,2
687971569481547831,800740277500379171,2
689943694911995976,800740277500379171,2
687971569481547831,788063937056210946,2
689943694911995976,788063937056210946,2
788116517690146938,800740277500379171,2
771349194405445674,800740277500379171,2
788116517690146938,788063937056210946,2
771349194405445674,788063937056210946,2
788320386277965834,800740277500379171,2
788320386277965834,788063937056210946,2
689453698279276545,800740277500379171,2
689453698279276545,788063937056210946,2
689837166553202703,800740277500379171,2
625684429129383949,800740277500379171,2
757497919677923329,800740277500379171,2
689837166553202703,788063937056210946,2
625684429129383949,788063937056210946,2
757497919677923329,788063937056210946,2
788086394714062858,800740277500379171,2
788086394714062858,788063937056210946,2
802086114223325225,800740277500379171,2
802086114223325225,788063937056210946,2
772727653320491010,800740277500379171,2
755754412655247430,800740277500379171,2
802118556627894305,800740277500379171,2
788115972086824960,800740277500379171,2
772727653320491010,788063937056210946,2
755754412655247430,788063937056210946,2
802118556627894305,788063937056210946,2
788115972086824960,788063937056210946,2
689067111271759983,800740277500379171,4
689157291391451142,800740277500379171,3
788062306008694804,800740277500379171,2
689067111271759983,788063937056210946,4
689157291391451142,788063937056210946,3
788062306008694804,788063937056210946,2
788091267808362496,800740277500379171,2
802076118748233769,800740277500379171,2
788091267808362496,788063937056210946,2
802076118748233769,788063937056210946,2
324631108731928587,800740277500379171,5
324631108731928587,788063937056210946,5
324631108731928587,100000000000000000,5
